[0.007s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.007s][info ][gc,init] Initializing The Z Garbage Collector
[0.007s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.007s][info ][gc,init] NUMA Support: Disabled
[0.007s][info ][gc,init] CPUs: 20 total, 20 available
[0.007s][info ][gc,init] Memory: 31764M
[0.007s][info ][gc,init] Large Page Support: Disabled
[0.008s][info ][gc,init] Address Space Size: unlimited
[0.008s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.008s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.008s][info ][gc,init] Reserved Space Size: 192G
[0.008s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.008s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.008s][info ][gc,init] Min Capacity: 5120M
[0.008s][info ][gc,init] Initial Capacity: 5120M
[0.008s][info ][gc,init] Max Capacity: 12288M
[0.008s][info ][gc,init] Soft Max Capacity: 12288M
[0.008s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.008s][info ][gc,init] Pre-touch: Enabled
[0.008s][info ][gc,init] Available space on backing filesystem: N/A
[0.009s][info ][gc,init] Uncommit: Enabled
[0.009s][info ][gc,init] Uncommit Delay: 300s
[0.009s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.009s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.807s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.095s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.096s][info ][gc,init] Runtime Workers: 12
[1.096s][info ][gc     ] Using The Z Garbage Collector
[1.106s][info ][gc,metaspace] CDS archive(s) not mapped
[1.106s][info ][gc,metaspace] Compressed class space mapped at: 0x000000006c000000-0x00000000ac000000, reserved size: 1073741824
[1.106s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.106s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.106s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.106s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.107s][info ][gc,metaspace] Klass Range:    [0x000000006c000000 - 0x00000000ac000000), (1073741824 bytes)
[1.107s][info ][gc,metaspace] Klass ID Range:  [1811939328 - 2885681145) (1073741817)
[1.107s][info ][gc,metaspace] No protection zone.
[1,141s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,143s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x00007ab287400008) [0x00007ab287400100, 0x00007ab287400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c51808) [0x00007ab2a6c51900, 0x00007ab2a6c519f0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.constant.ClassDesc.isArray (0x00007ab2a6c51b08) [0x00007ab2a6c51c00, 0x00007ab2a6c51cc0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x00007ab2a6c51e08) [0x00007ab2a6c51f00, 0x00007ab2a6c51f90] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6c52108) [0x00007ab2a6c52200, 0x00007ab2a6c522f8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6c52408) [0x00007ab2a6c52500, 0x00007ab2a6c52798] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6c52808) [0x00007ab2a6c52900, 0x00007ab2a6c529f8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.Util.fieldTypeSymbol (0x00007ab287772d08) [0x00007ab287772e00, 0x00007ab287774208] Compiler: c1, Barriers: 5, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.InfoFromMemberName.getReferenceKind (0x00007ab2a6c52b08) [0x00007ab2a6c52c00, 0x00007ab2a6c52cc0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,570s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.keepsAlive (0x00007ab287774288) [0x00007ab287774380, 0x00007ab287774f80] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 6, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: ch.qos.logback.core.joran.util.beans.BeanUtil.getParameterCount (0x00007ab287774f88) [0x00007ab287775080, 0x00007ab287775800] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToVirtual (0x00007ab2a6c52e08) [0x00007ab2a6c52f00, 0x00007ab2a6c52f28] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: ch.qos.logback.core.joran.spi.SimpleRuleStore.isSuffixPattern (0x00007ab287775888) [0x00007ab287775980, 0x00007ab2877765c0] Compiler: c1, Barriers: 4, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.ClassHierarchyResolver.cached (0x00007ab287776608) [0x00007ab287776700, 0x00007ab287776a08] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.ClassLoader.defineClass0 (0x00007ab2a6c53108) [0x00007ab2a6c53200, 0x00007ab2a6c535b8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassFileImpl.classHierarchyResolver (0x00007ab287776a88) [0x00007ab287776b80, 0x00007ab287776f80] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassHierarchyImpl.<init> (0x00007ab287776f88) [0x00007ab287777080, 0x00007ab2877777f0] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6c53608) [0x00007ab2a6c53700, 0x00007ab2a6c53998] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6c53a08) [0x00007ab2a6c53b00, 0x00007ab2a6c53bf8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.of (0x00007ab287777808) [0x00007ab287777900, 0x00007ab287778e70] Compiler: c1, Barriers: 14, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.<init> (0x00007ab287778e88) [0x00007ab287778f80, 0x00007ab28777ad70] Compiler: c1, Barriers: 42, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.processMethod (0x00007ab28777ad88) [0x00007ab28777ae80, 0x00007ab28777d3d8] Compiler: c1, Barriers: 15, Oops: 3, ImmediateOops: 4, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.ClassHierarchyResolver.cached (0x00007ab28777d408) [0x00007ab28777d500, 0x00007ab28777dad0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.ClassHierarchyResolver$1Factory.get (0x00007ab28777db08) [0x00007ab28777dc00, 0x00007ab28777e090] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.ClassHierarchyResolver$1Factory.get (0x00007ab28777e108) [0x00007ab28777e200, 0x00007ab28777e480] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassHierarchyImpl$CachedClassHierarchyResolver.<init> (0x00007ab28777e488) [0x00007ab28777e580, 0x00007ab28777e9b8] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.detectFrames (0x00007ab28777ea08) [0x00007ab28777eb00, 0x00007ab287782158] Compiler: c1, Barriers: 7, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator$Frame.setLocalsFromArg (0x00007ab287782188) [0x00007ab287782280, 0x00007ab2877847e0] Compiler: c1, Barriers: 24, Oops: 1, ImmediateOops: 13, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassFileImpl.patchDeadCode (0x00007ab287784808) [0x00007ab287784900, 0x00007ab287784b40] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassFileImpl.dropDeadLabels (0x00007ab287784b88) [0x00007ab287784c80, 0x00007ab287784ec0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator$Frame.<init> (0x00007ab287784f08) [0x00007ab287785000, 0x00007ab287785168] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.ClassHierarchyImpl$CachedClassHierarchyResolver$1.<init> (0x00007ab287785208) [0x00007ab287785300, 0x00007ab287785628] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.stackMapTableAttribute (0x00007ab287785688) [0x00007ab287785780, 0x00007ab2877859b8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.isAnyFrameDirty (0x00007ab287785a08) [0x00007ab287785b00, 0x00007ab287785d98] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator$Frame.<init> (0x00007ab287785e08) [0x00007ab287785f00, 0x00007ab2877863d0] Compiler: c1, Barriers: 12, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: sun.invoke.util.Wrapper.basicClassDescriptor (0x00007ab2a6c53d08) [0x00007ab2a6c53e00, 0x00007ab2a6c53ee8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapGenerator.generate (0x00007ab287786408) [0x00007ab287786500, 0x00007ab287786fc0] Compiler: c1, Barriers: 7, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandles$Lookup.<init> (0x00007ab287787008) [0x00007ab287787100, 0x00007ab287787370] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c54008) [0x00007ab2a6c54100, 0x00007ab2a6c541f0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.ensureClassInitialized0 (0x00007ab2a6c54308) [0x00007ab2a6c54400, 0x00007ab2a6c54558] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.DecimalDigits.uncheckedPutCharLatin1 (0x00007ab287787388) [0x00007ab287787480, 0x00007ab287787580] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6c54608) [0x00007ab2a6c54700, 0x00007ab2a6c54998] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6c54a08) [0x00007ab2a6c54b00, 0x00007ab2a6c54d98] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.constant.ConstantUtils.concat (0x00007ab287787688) [0x00007ab287787780, 0x00007ab287789de8] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 7, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.System$1.concat (0x00007ab287789e08) [0x00007ab287789f00, 0x00007ab28778c518] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 6, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.LambdaFormBuffer.ownedCount (0x00007ab28778c588) [0x00007ab28778c680, 0x00007ab28778c788] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.LambdaForm.useCount (0x00007ab28778c888) [0x00007ab28778c980, 0x00007ab28778ce28] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.isMethod (0x00007ab28778ce88) [0x00007ab28778cf80, 0x00007ab28778d138] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: java.util.HashMap$HashIterator.hasNext (0x00007ab2a6c54e08) [0x00007ab2a6c54f00, 0x00007ab2a6c54fb8] Compiler: jvmci, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,576s][debug][gc,director ] Rule Major: Warmup 10%, Used: 76MB, UsedThreshold: 1228MB
[1,576s][debug][gc,nmethod  ] Register NMethod: java.lang.CharacterDataLatin1.equalsIgnoreCase (0x00007ab2a6c55108) [0x00007ab2a6c55200, 0x00007ab2a6c552f8] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,577s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.locks.AbstractQueuedSynchronizer.setState (0x00007ab2a6c55408) [0x00007ab2a6c55500, 0x00007ab2a6c555c8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,582s][debug][gc,nmethod  ] Register NMethod: java.lang.StringBuilder.length (0x00007ab2a6c55708) [0x00007ab2a6c55800, 0x00007ab2a6c55888] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,583s][debug][gc,nmethod  ] Register NMethod: sun.nio.fs.UnixFileSystem.provider (0x00007ab2a6c55a08) [0x00007ab2a6c55b00, 0x00007ab2a6c55be8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,583s][debug][gc,nmethod  ] Register NMethod: sun.nio.fs.UnixFileSystem.needToResolveAgainstDefaultDirectory (0x00007ab2a6c55d08) [0x00007ab2a6c55e00, 0x00007ab2a6c55ec0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,583s][debug][gc,nmethod  ] Register NMethod: sun.nio.fs.NativeBuffer.size (0x00007ab2a6c56008) [0x00007ab2a6c56100, 0x00007ab2a6c561c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,583s][debug][gc,nmethod  ] Register NMethod: sun.nio.fs.NativeBuffer.owner (0x00007ab2a6c56308) [0x00007ab2a6c56400, 0x00007ab2a6c564e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,583s][debug][gc,nmethod  ] Register NMethod: sun.nio.fs.NativeBuffer.setOwner (0x00007ab2a6c56608) [0x00007ab2a6c56700, 0x00007ab2a6c56830] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.regionMatchesCI (0x00007ab2a6c56908) [0x00007ab2a6c56a00, 0x00007ab2a6c56bd0] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: java.lang.String.regionMatches (0x00007ab2a6c56c08) [0x00007ab2a6c56d00, 0x00007ab2a6c57040] Compiler: jvmci, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandleNatives.refKindHasReceiver (0x00007ab28778d188) [0x00007ab28778d280, 0x00007ab28778d3c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,586s][debug][gc,director ] Rule Major: Warmup 10%, Used: 76MB, UsedThreshold: 1228MB
[1,586s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.Util$1WithCodeMethodHandler.<init> (0x00007ab28778d488) [0x00007ab28778d580, 0x00007ab28778d7b0] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,586s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.Util.buildingCode (0x00007ab28778d808) [0x00007ab28778d900, 0x00007ab28778dbc0] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,586s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.Util$1WithCodeMethodHandler.accept (0x00007ab28778dc08) [0x00007ab28778dd00, 0x00007ab28778e350] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,586s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.Util$1WithCodeMethodHandler.accept (0x00007ab28778e388) [0x00007ab28778e480, 0x00007ab28778e6a0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,586s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.ClassBuilder.withMethodBody (0x00007ab28778e708) [0x00007ab28778e800, 0x00007ab28778ed78] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,588s][debug][gc,nmethod  ] Register NMethod: java.util.HashMap.calculateHashMapCapacity (0x00007ab28778ed88) [0x00007ab28778eea0, 0x00007ab28778f038] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,588s][debug][gc,nmethod  ] Register NMethod: java.nio.HeapByteBuffer.ix (0x00007ab28778f088) [0x00007ab28778f180, 0x00007ab28778f288] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,588s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.inflate (0x00007ab28778f388) [0x00007ab28778f480, 0x00007ab28778f670] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,591s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c57088) [0x00007ab2a6c57180, 0x00007ab2a6c57270] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,592s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c57388) [0x00007ab2a6c57480, 0x00007ab2a6c57570] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,592s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c57688) [0x00007ab2a6c57780, 0x00007ab2a6c57870] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.util.jar.Manifest$FastInputStream.readLine (0x00007ab2a6c57988) [0x00007ab2a6c57a80, 0x00007ab2a6c58370] Compiler: jvmci, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6c58388) [0x00007ab2a6c58480, 0x00007ab2a6c58578] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6c58688) [0x00007ab2a6c58780, 0x00007ab2a6c58a18] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6c58a88) [0x00007ab2a6c58b80, 0x00007ab2a6c58c78] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandleStatics.dumper (0x00007ab28778f688) [0x00007ab28778f780, 0x00007ab28778f868] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToInterface (0x00007ab2a6c58d88) [0x00007ab2a6c58e80, 0x00007ab2a6c58fb0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,director ] Rule Major: Warmup 10%, Used: 78MB, UsedThreshold: 1228MB
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c59088) [0x00007ab2a6c59180, 0x00007ab2a6c59270] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c59388) [0x00007ab2a6c59480, 0x00007ab2a6c59570] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectClassBuilder.with (0x00007ab28778f988) [0x00007ab28778fa80, 0x00007ab287790ca0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectClassBuilder.with (0x00007ab287790d08) [0x00007ab287790e00, 0x00007ab287791be0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,597s][debug][gc,nmethod  ] Register NMethod: jdk.internal.constant.ConstantUtils.dropFirstAndLastChar (0x00007ab287791c08) [0x00007ab287791d00, 0x00007ab287792480] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,598s][debug][gc,nmethod  ] Register NMethod: java.util.KeyValueHolder.<init> (0x00007ab287792488) [0x00007ab287792580, 0x00007ab287792a48] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,599s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandles$Lookup.isArrayClone (0x00007ab287792a88) [0x00007ab287792b80, 0x00007ab287793df8] Compiler: c1, Barriers: 7, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: sun.invoke.util.VerifyAccess.isMemberAccessible (0x00007ab287793e08) [0x00007ab287793f00, 0x00007ab2877964e8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder$4.tryGenerateStackMaps (0x00007ab287796508) [0x00007ab287796600, 0x00007ab287796c60] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder$4.generateStackMaps (0x00007ab287796c88) [0x00007ab287796d80, 0x00007ab2877978a0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandleNatives.canBeCalledVirtual (0x00007ab287797908) [0x00007ab287797a00, 0x00007ab287798498] Compiler: c1, Barriers: 5, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandleNatives.isCallerSensitive (0x00007ab287798508) [0x00007ab287798600, 0x00007ab287798d88] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,601s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.SplitConstantPool.tryFindUtf8 (0x00007ab2a6c59688) [0x00007ab2a6c597a0, 0x00007ab2a6c5a0a8] Compiler: jvmci, Barriers: 12, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,601s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.BufWriterImpl.cpIndex (0x00007ab2a6c5a108) [0x00007ab2a6c5a200, 0x00007ab2a6c5a6c8] Compiler: jvmci, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,602s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6c5a708) [0x00007ab2a6c5a800, 0x00007ab2a6c5a8f8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
