[0.005s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.005s][info ][gc,init] Initializing The Z Garbage Collector
[0.005s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.005s][info ][gc,init] NUMA Support: Disabled
[0.005s][info ][gc,init] CPUs: 20 total, 20 available
[0.005s][info ][gc,init] Memory: 31764M
[0.005s][info ][gc,init] Large Page Support: Disabled
[0.006s][info ][gc,init] Address Space Size: unlimited
[0.006s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.006s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.006s][info ][gc,init] Reserved Space Size: 192G
[0.006s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.006s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.006s][info ][gc,init] Min Capacity: 5120M
[0.006s][info ][gc,init] Initial Capacity: 5120M
[0.006s][info ][gc,init] Max Capacity: 12288M
[0.006s][info ][gc,init] Soft Max Capacity: 12288M
[0.006s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.006s][info ][gc,init] Pre-touch: Enabled
[0.006s][info ][gc,init] Available space on backing filesystem: N/A
[0.006s][info ][gc,init] Uncommit: Enabled
[0.006s][info ][gc,init] Uncommit Delay: 300s
[0.006s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.007s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.837s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.129s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.130s][info ][gc,init] Runtime Workers: 12
[1.130s][info ][gc     ] Using The Z Garbage Collector
[1.130s][info ][gc,metaspace] CDS archive(s) not mapped
[1.130s][info ][gc,metaspace] Compressed class space mapped at: 0x00000000b3000000-0x00000000f3000000, reserved size: 1073741824
[1.130s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.130s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.130s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.130s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.130s][info ][gc,metaspace] Klass Range:    [0x00000000b3000000 - 0x00000000f3000000), (1073741824 bytes)
[1.130s][info ][gc,metaspace] Klass ID Range:  [3003121664 - 4076863481) (1073741817)
[1.130s][info ][gc,metaspace] No protection zone.
[1,145s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,146s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x000072e47f400008) [0x000072e47f400100, 0x000072e47f400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.reflect.Method.getSharedExceptionTypes (0x000072e49ec55088) [0x000072e49ec55180, 0x000072e49ec55268] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.PublicMethods$MethodList.length (0x000072e47f775f08) [0x000072e47f776000, 0x000072e47f776208] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.PublicMethods$Key.<init> (0x000072e47f776288) [0x000072e47f776380, 0x000072e47f776900] Compiler: c1, Barriers: 8, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackCounter.ensureLocalSlot (0x000072e47f776988) [0x000072e47f776a80, 0x000072e47f776bb0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,571s][debug][gc,nmethod  ] Register NMethod: java.lang.PublicMethods.merge (0x000072e47f776c88) [0x000072e47f776d80, 0x000072e47f777e20] Compiler: c1, Barriers: 14, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.nio.Buffer.position (0x000072e47f777e88) [0x000072e47f777f80, 0x000072e47f7781c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: java.util.Collections$SingletonList.size (0x000072e49ec55388) [0x000072e49ec55480, 0x000072e49ec55540] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,572s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.UnboundAttribute.writeTo (0x000072e47f778208) [0x000072e47f778300, 0x000072e47f778668] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: java.lang.reflect.Method.isDefault (0x000072e47f778688) [0x000072e47f778780, 0x000072e47f778fa8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: org.junit.platform.commons.util.ReflectionUtils$$Lambda/0x00000000b31769a8.test (0x000072e47f779008) [0x000072e47f779100, 0x000072e47f779d58] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.visitor.Reifier.getFactory (0x000072e49ec55688) [0x000072e49ec55780, 0x000072e49ec55868] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.tree.ClassTypeSignature.getPath (0x000072e49ec55988) [0x000072e49ec55a80, 0x000072e49ec55b68] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.tree.SimpleClassTypeSignature.getDollar (0x000072e49ec55c88) [0x000072e49ec55d80, 0x000072e49ec55e40] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,573s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.tree.SimpleClassTypeSignature.getName (0x000072e49ec55f88) [0x000072e49ec56080, 0x000072e49ec56168] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.StringBuilder.toString (0x000072e49ec56288) [0x000072e49ec56380, 0x000072e49ec56788] Compiler: jvmci, Barriers: 3, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.getInterfaces (0x000072e47f779d88) [0x000072e47f779e80, 0x000072e47f77a558] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.AbstractPseudoInstruction$ExceptionCatchImpl.writeTo (0x000072e47f77a588) [0x000072e47f77a680, 0x000072e47f77a980] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.AbstractPseudoInstruction.<init> (0x000072e47f77a988) [0x000072e47f77aa80, 0x000072e47f77ac38] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.util.ArrayDeque.<init> (0x000072e47f77ac88) [0x000072e47f77ad80, 0x000072e47f77b040] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.util.List.of (0x000072e47f77b088) [0x000072e47f77b180, 0x000072e47f77be88] Compiler: c1, Barriers: 15, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.AbstractPseudoInstruction$ExceptionCatchImpl.<init> (0x000072e47f77bf08) [0x000072e47f77c000, 0x000072e47f77ce10] Compiler: c1, Barriers: 12, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.BufWriterImpl.writeIndexOrZero (0x000072e47f77ce88) [0x000072e47f77cf80, 0x000072e47f77dc90] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.String.<init> (0x000072e49ec56808) [0x000072e49ec56900, 0x000072e49ec56ce0] Compiler: jvmci, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.tree.SimpleClassTypeSignature.getTypeArguments (0x000072e49ec56d08) [0x000072e49ec56e00, 0x000072e49ec56ee8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.addHandler (0x000072e47f77dd08) [0x000072e47f77de00, 0x000072e47f77fa08] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,574s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.forName (0x000072e47f77fa88) [0x000072e47f77fb80, 0x000072e47f77fca0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.Attributes.stackMapTable (0x000072e47f77fd88) [0x000072e47f77fe80, 0x000072e47f77ff68] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: sun.reflect.generics.parser.SignatureParser.current (0x000072e49ec57008) [0x000072e49ec57100, 0x000072e49ec572c8] Compiler: jvmci, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.constantpool.LoadableConstantEntry.typeKind (0x000072e47f780088) [0x000072e47f780180, 0x000072e47f780288] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.BytecodeHelpers.ldcOpcode (0x000072e47f780388) [0x000072e47f780480, 0x000072e47f780c30] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 3, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.ldc (0x000072e47f780c88) [0x000072e47f780d80, 0x000072e47f781c38] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.writeDirectLoadConstant (0x000072e47f781c88) [0x000072e47f781d80, 0x000072e47f782e98] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,575s][debug][gc,nmethod  ] Register NMethod: jdk.internal.constant.ConstantUtils.referenceClassDesc (0x000072e47f782f08) [0x000072e47f783000, 0x000072e47f783c40] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,576s][debug][gc,nmethod  ] Register NMethod: java.lang.reflect.Method.getRoot (0x000072e47f783c88) [0x000072e47f783d80, 0x000072e47f784080] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,577s][debug][gc,nmethod  ] Register NMethod: java.util.stream.StreamOpFlag.isKnown (0x000072e47f784088) [0x000072e47f784180, 0x000072e47f7842d8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,578s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.AbstractPoolEntry.maybeClone (0x000072e49ec57308) [0x000072e49ec57400, 0x000072e49ec577f0] Compiler: jvmci, Barriers: 5, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,579s][debug][gc,director ] Rule Major: Warmup 10%, Used: 82MB, UsedThreshold: 1228MB
[1,580s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackCounter.<init> (0x000072e47f784388) [0x000072e47f784480, 0x000072e47f79ae50] Compiler: c1, Barriers: 95, Oops: 2, ImmediateOops: 18, NonImmediateOops: No
[1,580s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.LambdaForm$MH/0x00000000b3084400.invoke (0x000072e47f79ae88) [0x000072e47f79af80, 0x000072e47f79b6f0] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,580s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.DirectMethodHandle$Holder.invokeSpecial (0x000072e47f79b708) [0x000072e47f79b800, 0x000072e47f79bbc8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,581s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.SplitConstantPool.tryFindUtf8 (0x000072e49ec57808) [0x000072e49ec57920, 0x000072e49ec58228] Compiler: jvmci, Barriers: 12, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,581s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackCounter.maxStack (0x000072e49ec58288) [0x000072e49ec58380, 0x000072e49ec58440] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,581s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackCounter.maxLocals (0x000072e49ec58588) [0x000072e49ec58680, 0x000072e49ec58740] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.DirectMethodHandle$Constructor.<init> (0x000072e47f79bc08) [0x000072e47f79bd00, 0x000072e47f79bf50] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectClassBuilder.with (0x000072e47f79bf88) [0x000072e47f79c080, 0x000072e47f79ce60] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectClassBuilder.with (0x000072e47f79ce88) [0x000072e47f79cf80, 0x000072e47f79e1a0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,585s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.keepsAlive (0x000072e47f79e208) [0x000072e47f79e300, 0x000072e47f79ef00] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 6, NonImmediateOops: No
[1,587s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.TypeConvertingMethodAdapter.convertType (0x000072e47f79ef08) [0x000072e47f79f000, 0x000072e47f7a74e8] Compiler: c1, Barriers: 12, Oops: 3, ImmediateOops: 31, NonImmediateOops: No
[1,588s][debug][gc,nmethod  ] Register NMethod: java.lang.ClassLoader.getUnnamedModule (0x000072e49ec58888) [0x000072e49ec58980, 0x000072e49ec58a68] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,588s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x000072e49ec58b88) [0x000072e49ec58c80, 0x000072e49ec58d78] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,589s][debug][gc,nmethod  ] Register NMethod: org.junit.platform.commons.util.Preconditions.condition (0x000072e47f7a7508) [0x000072e47f7a7600, 0x000072e47f7a77e0] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,589s][debug][gc,director ] Rule Major: Warmup 10%, Used: 84MB, UsedThreshold: 1228MB
[1,589s][debug][gc,nmethod  ] Register NMethod: sun.invoke.util.VerifyAccess.ensureTypeVisible (0x000072e47f7a7808) [0x000072e47f7a7900, 0x000072e47f7a82d0] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,589s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.CodeBuilder.invoke (0x000072e47f7a8308) [0x000072e47f7a8400, 0x000072e47f7a8b98] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,589s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.isMethod (0x000072e47f7a8c08) [0x000072e47f7a8d00, 0x000072e47f7a8eb8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,590s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.invoke (0x000072e47f7a8f08) [0x000072e47f7a9000, 0x000072e47f7abe48] Compiler: c1, Barriers: 7, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,590s][debug][gc,nmethod  ] Register NMethod: jdk.internal.loader.ClassLoaders$AppClassLoader.defineOrCheckPackage (0x000072e47f7abe88) [0x000072e47f7abf80, 0x000072e47f7ac0b0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,591s][debug][gc,nmethod  ] Register NMethod: java.util.regex.Pattern.peek (0x000072e47f7ac188) [0x000072e47f7ac280, 0x000072e47f7ac500] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,591s][debug][gc,nmethod  ] Register NMethod: jdk.internal.loader.BuiltinClassLoader.defineOrCheckPackage (0x000072e47f7ac508) [0x000072e47f7ac600, 0x000072e47f7ad738] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,591s][debug][gc,nmethod  ] Register NMethod: jdk.internal.loader.BuiltinClassLoader.getAndVerifyPackage (0x000072e47f7ad788) [0x000072e47f7ad880, 0x000072e47f7b03d8] Compiler: c1, Barriers: 4, Oops: 4, ImmediateOops: 6, NonImmediateOops: No
[1,591s][debug][gc,nmethod  ] Register NMethod: jdk.internal.loader.BuiltinClassLoader.defineClass (0x000072e47f7b0408) [0x000072e47f7b0500, 0x000072e47f7b3408] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,592s][debug][gc,nmethod  ] Register NMethod: java.util.stream.ReduceOps$3ReducingSink.accept (0x000072e47f7b3488) [0x000072e47f7b3580, 0x000072e47f7b38f8] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,592s][debug][gc,nmethod  ] Register NMethod: org.junit.platform.commons.util.Preconditions.notNull (0x000072e47f7b3908) [0x000072e47f7b3a00, 0x000072e47f7b3c90] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,593s][debug][gc,nmethod  ] Register NMethod: java.lang.reflect.ProxyGenerator$ProxyMethod.parameterTypes (0x000072e47f7b3d08) [0x000072e47f7b3e00, 0x000072e47f7b4140] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,593s][debug][gc,nmethod  ] Register NMethod: java.util.HashMap.<init> (0x000072e47f7b4188) [0x000072e47f7b4280, 0x000072e47f7b5ec8] Compiler: c1, Barriers: 0, Oops: 2, ImmediateOops: 4, NonImmediateOops: No
[1,593s][debug][gc,nmethod  ] Register NMethod: java.lang.CharSequence.isEmpty (0x000072e47f7b5f08) [0x000072e47f7b6000, 0x000072e47f7b6348] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.util.List.of (0x000072e47f7b6388) [0x000072e47f7b6480, 0x000072e47f7b6568] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.labelBinding (0x000072e47f7b6688) [0x000072e47f7b6780, 0x000072e47f7b6eb0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.newLabel (0x000072e47f7b6f08) [0x000072e47f7b7000, 0x000072e47f7b72e8] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.BufWriterImpl.labelContext (0x000072e49ec58e88) [0x000072e49ec58f80, 0x000072e49ec59068] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.methodInfo (0x000072e49ec59188) [0x000072e49ec59280, 0x000072e49ec59368] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.util.List.of (0x000072e47f7b7308) [0x000072e47f7b7400, 0x000072e47f7b7950] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.util.LinkedHashMap.newNode (0x000072e47f7b7988) [0x000072e47f7b7a80, 0x000072e47f7b7c68] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.lang.System$1.getAnnotationType (0x000072e47f7b7c88) [0x000072e47f7b7d80, 0x000072e47f7b8090] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: java.lang.reflect.Method.getParameterCount (0x000072e47f7b8108) [0x000072e47f7b8200, 0x000072e47f7b8338] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,594s][debug][gc,nmethod  ] Register NMethod: sun.reflect.annotation.AnnotationType.getInstance (0x000072e47f7b8408) [0x000072e47f7b8500, 0x000072e47f7b9010] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.invokevirtual (0x000072e47f7b9088) [0x000072e47f7b9180, 0x000072e47f7b98d0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.DecimalDigits.uncheckedPutCharLatin1 (0x000072e47f7b9908) [0x000072e47f7b9a00, 0x000072e47f7b9b00] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.DecimalDigits.stringSize (0x000072e47f7b9c08) [0x000072e47f7b9d00, 0x000072e47f7b9f28] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.athrow (0x000072e47f7b9f88) [0x000072e47f7ba080, 0x000072e47f7ba3c8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: java.lang.Module.allows (0x000072e47f7ba408) [0x000072e47f7ba500, 0x000072e47f7bb068] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 3, NonImmediateOops: No
[1,595s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.attribute.StackMapFrameInfo.of (0x000072e47f7bb088) [0x000072e47f7bb180, 0x000072e47f7bb318] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.classfile.CodeBuilder.newBoundLabel (0x000072e47f7bb388) [0x000072e47f7bb480, 0x000072e47f7bbed8] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapDecoder$StackMapFrameImpl.<init> (0x000072e47f7bbf08) [0x000072e47f7bc000, 0x000072e47f7bc5a0] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.Invokers.maybeCustomize (0x000072e47f7bc608) [0x000072e47f7bc700, 0x000072e47f7bc9d8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.Invokers.checkCustomized (0x000072e47f7bca08) [0x000072e47f7bcb00, 0x000072e47f7bcd20] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.maybeCustomize (0x000072e47f7bcd88) [0x000072e47f7bce80, 0x000072e47f7bd518] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.DirectCodeBuilder.return_ (0x000072e47f7bd588) [0x000072e47f7bd680, 0x000072e47f7bd9c8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,596s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapDecoder.writeFrame (0x000072e47f7bda08) [0x000072e47f7bdb00, 0x000072e47f7c2610] Compiler: c1, Barriers: 15, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,597s][debug][gc,nmethod  ] Register NMethod: jdk.internal.classfile.impl.StackMapDecoder.writeTypeInfo (0x000072e47f7c2688) [0x000072e47f7c2780, 0x000072e47f7c6898] Compiler: c1, Barriers: 3, Oops: 2, ImmediateOops: 5, NonImmediateOops: No
[1,597s][debug][gc,nmethod  ] Register NMethod: jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (0x000072e47f7c6908) [0x000072e47f7c6a00, 0x000072e47f7c91c0] Compiler: c1, Barriers: 6, Oops: 1, ImmediateOops: 8, NonImmediateOops: No
[1,599s][debug][gc,director ] Rule Major: Warmup 10%, Used: 84MB, UsedThreshold: 1228MB
[1,600s][debug][gc,nmethod  ] Register NMethod: java.util.LinkedHashMap.get (0x000072e47f7c9208) [0x000072e47f7c9300, 0x000072e47f7c98c0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: java.util.logging.LogManager.getProperty (0x000072e47f7c9908) [0x000072e47f7c9a00, 0x000072e47f7c9d40] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,600s][debug][gc,nmethod  ] Register NMethod: java.lang.String.substring (0x000072e47f7c9d88) [0x000072e47f7c9e80, 0x000072e47f7ca618] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,601s][debug][gc,nmethod  ] Register NMethod: java.util.jar.JarFile.getJarEntry (0x000072e49ec59488) [0x000072e49ec59580, 0x000072e49ec5ab98] Compiler: jvmci, Barriers: 14, Oops: 2, ImmediateOops: 8, NonImmediateOops: No
